Age_Group,Occupation,Education,Daily_Free_Time,Learning_Style,Primary_Goal,Current_Productivity,Stress_Level,Focus_Level,Skill_Level,Planet_Focus,Recommended_Missions,Recommended_Habits,Recommended_Daily_Hours,Recommended_XP_Target,Personalized_Plan
25-34,Student,Bachelors,1-2 hours,Reading/Writing,Mindfulness,7,5,9,5,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
45+,Designer,High School,3-4 hours,Reading/Writing,Career Advancement,6,4,6,5,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
18-24,Engineer,Masters,3-4 hours,Visual,Learn React,5,5,8,6,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
25-34,Student,High School,3-4 hours,Visual,Financial Stability,4,4,6,6,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
35-44,Designer,Bachelors,3-4 hours,Auditory,Mindfulness,8,5,5,1,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Other,Masters,3-4 hours,Auditory,Side Projects,5,5,9,7,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
35-44,Designer,Bachelors,5+ hours,Kinesthetic,Financial Stability,6,6,5,1,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
25-34,Engineer,Bachelors,1-2 hours,Reading/Writing,Financial Stability,9,10,7,6,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
45+,Student,PhD,1-2 hours,Reading/Writing,Career Advancement,7,3,9,6,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
25-34,Engineer,Bachelors,3-4 hours,Kinesthetic,Mindfulness,8,8,4,1,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
25-34,Designer,Masters,5+ hours,Auditory,Financial Stability,7,7,4,10,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
18-24,Designer,Masters,3-4 hours,Reading/Writing,Aesthetic Design,7,6,7,9,Health,"Track meal nutrition,Practice deep breathing,Monitor physical vitals","Sleep 8 hours,Drink 3L water,Track daily calories",1.5,80,Health & Wellness Plan
18-24,Manager,Bachelors,3-4 hours,Auditory,Side Projects,5,7,8,5,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Engineer,Bachelors,3-4 hours,Kinesthetic,Better Relationships,6,7,9,9,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
25-34,Other,Masters,1-2 hours,Visual,Side Projects,9,8,9,6,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Other,Bachelors,3-4 hours,Auditory,Physical Fitness,6,4,4,8,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
25-34,Designer,Bachelors,5+ hours,Auditory,Aesthetic Design,6,7,7,3,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
35-44,Designer,Masters,3-4 hours,Auditory,Physical Fitness,5,8,7,9,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
18-24,Designer,Bachelors,5+ hours,Reading/Writing,Better Relationships,9,8,9,7,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
35-44,Engineer,Masters,3-4 hours,Kinesthetic,Better Relationships,7,8,5,9,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
25-34,Student,Bachelors,3-4 hours,Auditory,Side Projects,8,5,7,2,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Student,Masters,3-4 hours,Visual,Aesthetic Design,8,6,7,8,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Designer,Bachelors,3-4 hours,Visual,Aesthetic Design,7,7,4,5,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
35-44,Other,Bachelors,3-4 hours,Auditory,Better Relationships,8,5,6,8,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
18-24,Engineer,Masters,3-4 hours,Auditory,Better Relationships,9,5,8,1,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
45+,Engineer,Masters,1-2 hours,Kinesthetic,Physical Fitness,5,7,5,5,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
18-24,Student,Bachelors,3-4 hours,Kinesthetic,Side Projects,4,6,7,8,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Engineer,PhD,3-4 hours,Visual,Career Advancement,6,4,5,1,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
25-34,Student,Bachelors,1-2 hours,Auditory,Better Relationships,5,5,7,10,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
25-34,Manager,High School,5+ hours,Reading/Writing,Learn React,7,10,4,10,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
25-34,Other,Bachelors,3-4 hours,Visual,Mindfulness,7,4,9,10,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
35-44,Designer,Bachelors,1-2 hours,Kinesthetic,Financial Stability,7,4,8,1,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
35-44,Designer,High School,5+ hours,Kinesthetic,Physical Fitness,9,7,5,5,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
25-34,Other,Masters,3-4 hours,Reading/Writing,Financial Stability,7,5,4,8,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
18-24,Engineer,Bachelors,3-4 hours,Visual,Better Relationships,8,6,5,4,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
18-24,Engineer,Bachelors,3-4 hours,Reading/Writing,Creative Writing,6,4,8,2,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
18-24,Engineer,Bachelors,1-2 hours,Kinesthetic,Better Relationships,5,7,4,5,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
18-24,Manager,Bachelors,3-4 hours,Kinesthetic,Creative Writing,8,8,6,9,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
18-24,Manager,Bachelors,1-2 hours,Visual,Mindfulness,9,6,4,3,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Manager,Bachelors,3-4 hours,Reading/Writing,Learn React,6,5,6,6,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
18-24,Student,Bachelors,1-2 hours,Visual,Creative Writing,7,5,6,2,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
35-44,Engineer,Bachelors,3-4 hours,Auditory,Career Advancement,5,8,7,2,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
25-34,Student,Bachelors,1-2 hours,Auditory,Side Projects,4,3,6,9,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
35-44,Manager,Masters,1-2 hours,Kinesthetic,Better Relationships,9,9,6,7,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
18-24,Manager,Bachelors,3-4 hours,Auditory,Mindfulness,5,6,9,3,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Engineer,Bachelors,3-4 hours,Kinesthetic,Side Projects,7,4,5,5,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
25-34,Engineer,Masters,5+ hours,Auditory,Aesthetic Design,6,6,8,3,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
35-44,Student,Bachelors,3-4 hours,Reading/Writing,Better Relationships,6,3,8,7,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
45+,Engineer,Bachelors,1-2 hours,Visual,Aesthetic Design,7,6,8,1,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
18-24,Manager,Masters,3-4 hours,Visual,Side Projects,6,8,4,8,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
25-34,Engineer,Bachelors,5+ hours,Kinesthetic,Better Relationships,7,6,7,7,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
18-24,Manager,Masters,3-4 hours,Kinesthetic,Side Projects,5,7,8,8,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Engineer,High School,3-4 hours,Visual,Creative Writing,5,7,7,4,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
25-34,Manager,Bachelors,3-4 hours,Visual,Mindfulness,6,8,8,5,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
25-34,Manager,High School,5+ hours,Auditory,Physical Fitness,5,8,8,9,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
25-34,Student,Masters,1-2 hours,Visual,Physical Fitness,8,6,7,5,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
25-34,Engineer,Bachelors,3-4 hours,Auditory,Aesthetic Design,9,7,8,3,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
18-24,Designer,Bachelors,5+ hours,Reading/Writing,Career Advancement,7,6,9,10,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
25-34,Manager,Masters,3-4 hours,Kinesthetic,Financial Stability,9,8,8,7,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
25-34,Engineer,Bachelors,3-4 hours,Kinesthetic,Mindfulness,7,9,4,8,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
25-34,Designer,Bachelors,3-4 hours,Auditory,Better Relationships,9,4,5,10,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
18-24,Student,Masters,1-2 hours,Kinesthetic,Career Advancement,5,4,8,2,Career,"Adjust portfolio layouts,Optimize resume metrics,Apply to 3 start-up platforms","Network on LinkedIn,Update progress logs,Practice system design",2.5,120,Accelerated Professional Growth Plan
25-34,Other,Bachelors,3-4 hours,Visual,Financial Stability,7,8,7,8,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
35-44,Student,High School,3-4 hours,Reading/Writing,Mindfulness,4,3,8,2,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
25-34,Manager,PhD,1-2 hours,Visual,Side Projects,8,8,6,3,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Engineer,Masters,1-2 hours,Auditory,Learn React,9,8,7,4,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
25-34,Engineer,Bachelors,3-4 hours,Kinesthetic,Side Projects,7,6,7,9,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Engineer,Bachelors,3-4 hours,Kinesthetic,Side Projects,6,7,6,7,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
35-44,Student,Bachelors,3-4 hours,Reading/Writing,Side Projects,6,3,8,1,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
25-34,Manager,Masters,1-2 hours,Kinesthetic,Side Projects,7,7,8,4,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
25-34,Manager,Masters,3-4 hours,Auditory,Learn React,8,6,6,1,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
25-34,Manager,High School,1-2 hours,Kinesthetic,Physical Fitness,9,7,5,6,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
25-34,Other,Masters,1-2 hours,Kinesthetic,Side Projects,8,6,4,2,Projects,"Define software milestones,Test application edge cases,Build command controllers","Write utility scripts,Solve coding challenges,Refactor redundant blocks",2.0,110,Ultimate Skill Booster Plan
18-24,Other,Masters,3-4 hours,Kinesthetic,Creative Writing,8,6,4,1,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
18-24,Student,Bachelors,3-4 hours,Reading/Writing,Aesthetic Design,5,5,5,8,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
25-34,Other,Bachelors,3-4 hours,Visual,Better Relationships,8,6,9,2,Relationships,"Schedule family dinner chat,Call a distant friend,Plan community meetup","Express appreciation,Daily active listening,Schedule social calls",1.2,75,Harmonious Social Relations Plan
18-24,Other,Bachelors,3-4 hours,Visual,Mindfulness,8,8,5,8,Mindfulness,"Complete 15min silent meditation,Write gratitude logs,Disconnect from social media","Meditate morning and night,Mindful eating,Journal daily thoughts",1.0,60,Stress-relief & Mindfulness Plan
18-24,Other,Masters,3-4 hours,Auditory,Aesthetic Design,9,4,7,7,Finance,"Audit monthly subscriptions,Map investment allocations,Refine savings target","Log expenses,Read financial journals,Budget weekly spending",1.0,70,Strategic Finance & Wealth Plan
18-24,Engineer,Bachelors,5+ hours,Reading/Writing,Learn React,7,6,8,1,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
18-24,Student,High School,5+ hours,Kinesthetic,Learn React,4,4,9,1,Learning,"Complete React Routing Labs,Refactor API Integrations,Build custom hooks demo","Code for 2 hours daily,Read technical docs,Contribute to open source",3.5,150,Deep Dev & React Mastery Plan
35-44,Student,High School,3-4 hours,Visual,Creative Writing,5,4,9,4,Creativity,"Sketch interface concepts,Draft 500 words creative writing,Develop styling guide","Daily creative sessions,Sketching ideas,Review design references",1.5,90,Creative Expression & Side Projects Plan
18-24,Student,PhD,1-2 hours,Auditory,Physical Fitness,5,7,7,2,Fitness,"Execute 40min HIIT workout,Run 5k outdoor cardio,Perform muscle sets","Stretch daily,Daily cardio sessions,Keep steps above 10k",2.0,100,Peak Fitness Plan
